"province" "country" "latitude" "longitude"
"Florida" "United States" 27.18101649 -82.32284655
"Florida" "United States" 25.61359856 -80.56596316
"Florida" "United States" 29.67525737 -82.357707
"Florida" "United States" 29.05730729 -81.18413567
"Florida" "United States" 30.33295292 -81.6709398
"Florida" "United States" 29.98451778 -81.85208424
"Florida" "United States" 26.15218767 -80.48771463
"Florida" "United States" 26.15218767 -80.48771463
"Florida" "United States" 27.92983925 -82.30899165
"Florida" "United States" 26.15218767 -80.48771463
"California" "United States" 40.70305 -123.873
"Florida" "United States" 26.15218767 -80.48771463
"Florida" "United States" 26.57955075 -81.82734485
"Rhode Island" "United States" 41.67672221 -71.55440889
"Rhode Island" "United States" 41.67672221 -71.55440889
"Rhode Island" "United States" 41.67672221 -71.55440889
"Rhode Island" "United States" 41.67672221 -71.55440889
"Rhode Island" "United States" 41.67672221 -71.55440889
"Rhode Island" "United States" 41.67672221 -71.55440889
"Rhode Island" "United States" 41.67672221 -71.55440889
"Rhode Island" "United States" 41.67672221 -71.55440889
"Rhode Island" "United States" 41.67672221 -71.55440889
"Minnesota" "United States" 45.17560382 -93.96427035
"Minnesota" "United States" 46.42071168 -94.19551232
"Florida" "United States" 28.30925984 -82.39213624
"Minnesota" "United States" 46.42071168 -94.19551232
"Rhode Island" "United States" 41.67672221 -71.55440889
"Rhode Island" "United States" 41.67672221 -71.55440889
"Rhode Island" "United States" 41.67672221 -71.55440889
"Rhode Island" "United States" 41.67672221 -71.55440889
"Minnesota" "United States" 45.00652234 -93.47836029
"Rhode Island" "United States" 41.67672221 -71.55440889
"Minnesota" "United States" 45.00652234 -93.47836029
"Rhode Island" "United States" 41.67672221 -71.55440889
"Rhode Island" "United States" 41.67672221 -71.55440889
"Rhode Island" "United States" 41.67672221 -71.55440889
"Rhode Island" "United States" 41.67672221 -71.55440889
"New Mexico" "United States" 35.05211207 -106.6656831
"Washington" "United States" 48.04818 -121.696
"Washington" "United States" 47.02357632 -122.1021305
"Washington" "United States" 48.04818 -121.696
